gene_id,display_name,candidate_grade,prior_241_membership,prior_1200_membership,comparison_class,prior_direction,prior_fc_wt,prior_fc_rin,prior_ecs,prior_dataset2_row,prior_dataset1_row,current_rin1_response,cross_allele_sign_compatibility,current_binding_replicates,qualifying_peak_rows,any_cross_replicate_interval_overlap,min_abs_feature_to_peak_distance_bp,max_abs_feature_to_peak_distance_bp,source_url,mapping_rule,interpretation
Solyc08g078870,Solyc08g078870,B,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,2235,lower_in_rin1,not_assessed,2,3,True,276,1208,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc06g072650,Solyc06g072650,B,listed,listed,prior_241,positive,4.152175145,1.283280663,3.235593947,82,1768,lower_in_rin1,compatible,2,2,True,561,720,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc12g096570,ARGOS,B,listed,listed,prior_241,positive,79.05005712,10.56744882,7.480524247,141,2958,lower_in_rin1,compatible,2,2,True,645,722,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc03g082560,Solyc03g082560,B,not_listed_exact_ID,not_listed_exact_ID,reprocessed_association_only,not_available,,,,,,higher_in_rin1,not_assessed,3,5,True,2927,4220,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc01g066740,Solyc01g066740,B,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,249,higher_in_rin1,not_assessed,2,2,True,437,558,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc04g080250,Solyc04g080250,B,listed,listed,prior_241,positive,41.06205333,1.015184113,40.44788804,69,1376,lower_in_rin1,compatible,2,2,True,358,439,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc04g064870,Solyc04g064870,B,not_listed_exact_ID,not_listed_exact_ID,reprocessed_association_only,not_available,,,,,,higher_in_rin1,not_assessed,2,3,True,552,2379,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc02g084600,Solyc02g084600,B,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,800,higher_in_rin1,not_assessed,3,3,True,408,636,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc06g053950,Solyc06g053950,C,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,1657,lower_in_rin1,not_assessed,3,5,True,713,3840,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc04g080540,Solyc04g080540,C,not_listed_exact_ID,not_listed_exact_ID,reprocessed_association_only,not_available,,,,,,lower_in_rin1,not_assessed,2,2,False,805,1691,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
