gene_id,replicate,source_row,PEAK_ID,CHROMOSOME,PEAK_START,PEAK_END,PEAK_SCORE,PEAK_FDR,FEATURE_TRACK,FEATURE_STRAND,FEATURE_START,FEATURE_END,FEATURE_TO_PEAK_DISTANCE,source_url,coordinate_reference,coordinate_convention,coordinate_conversion
Solyc03g082560,GSM989347,244,172,Solyc03,46037973,46038748,1.664289,0.00183,transcription_start_site,+,46042581,46042581,-4220,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc06g051800,GSM989347,265,186,Solyc06,31969680,31970058,1.643535,0.00183,transcription_start_site,-,31968782,31968782,-1087,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g083380,GSM989347,349,249,Solyc02,41386037,41386661,1.585546,0.00702,transcription_start_site,+,41387877,41387877,-1528,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g005770,GSM989347,355,253,Solyc08,601918,602681,1.578809,0,transcription_start_site,+,602701,602701,-401,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc07g042390,GSM989347,416,298,Solyc07,52853442,52854074,1.54599,0.00105,transcription_start_site,-,52853436,52853436,-322,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc12g017530,GSM989347,438,315,Solyc12,6800832,6801132,1.520089,0.0019,transcription_start_site,+,6801148,6801148,-166,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g005770,GSM989347,535,389,Solyc08,601118,601482,1.482147,0.00421,transcription_start_site,+,602701,602701,-1401,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc03g082560,GSM989347,565,411,Solyc03,46038935,46039795,1.46849,0.00957,transcription_start_site,+,46042581,46042581,-3216,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc04g064870,GSM989347,628,457,Solyc04,55148081,55148558,1.447106,0.00541,transcription_start_site,+,55150699,55150699,-2379,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc06g072650,GSM989347,669,490,Solyc06,41196976,41197577,1.417951,0.00484,transcription_start_site,+,41197838,41197838,-561,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g005610,GSM989347,680,499,Solyc08,476524,477044,1.417706,0.00619,transcription_start_site,+,477231,477231,-447,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc10g083400,GSM989347,714,524,Solyc10,62546446,62547884,1.413946,0.0041,transcription_start_site,-,62546364,62546364,-801,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc01g104850,GSM989347,745,549,Solyc01,84939383,84939684,1.387383,0.00898,transcription_start_site,+,84940183,84940183,-649,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc01g108490,GSM989347,749,553,Solyc01,87564133,87564994,1.387383,0.01238,transcription_start_site,-,87563972,87563972,-591,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc06g053950,GSM989347,751,555,Solyc06,33332089,33332706,1.385725,0.00464,transcription_start_site,-,33333111,33333111,713,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g078870,GSM989347,765,564,Solyc08,59727485,59727860,1.385485,0.00707,transcription_start_site,+,59727949,59727949,-276,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g078870,GSM989347,871,638,Solyc08,59726273,59727208,1.353265,0.00898,transcription_start_site,+,59727949,59727949,-1208,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g088270,GSM989347,920,674,Solyc02,44993228,44993489,1.349401,0.01439,transcription_start_site,+,44993538,44993538,-179,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc12g096570,GSM989347,954,699,Solyc12,63771792,63772404,1.337679,0.00484,transcription_start_site,-,63771453,63771453,-645,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g005770,GSM989347,1120,814,Solyc08,597874,598398,1.288824,0.00694,transcription_start_site,+,602701,602701,-4565,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc01g006540,GSM989347,1443,1043,Solyc01,1113550,1113918,1.222218,0.02579,transcription_start_site,+,1113939,1113939,-205,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g070890,GSM989347,1465,1058,Solyc02,35064453,35065383,1.214461,0.01376,transcription_start_site,+,35065880,35065880,-962,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc04g064870,GSM989347,1602,1147,Solyc04,55149938,55150356,1.189843,0.02579,transcription_start_site,+,55150699,55150699,-552,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc01g095080,GSM989347,1831,1308,Solyc01,78218254,78218785,1.156152,0.03815,transcription_start_site,-,78217128,78217128,-1391,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc07g063600,GSM989347,1999,1425,Solyc07,63271138,63271970,1.127285,0.01761,transcription_start_site,-,63268089,63268089,-3465,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc07g054750,GSM989347,2008,1432,Solyc07,60307997,60308277,1.127285,0.03815,transcription_start_site,-,60303161,60303161,-4976,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc03g116510,GSM989347,2091,1496,Solyc03,59959030,59960439,1.109526,0.04728,transcription_start_site,+,59960300,59960300,-565,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc04g080540,GSM989347,2216,1585,Solyc04,62267604,62267896,1.093369,0.04728,transcription_start_site,+,62268555,62268555,-805,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc09g092430,GSM989347,2378,1691,Solyc09,66872279,66872575,1.069506,0.04728,transcription_start_site,+,66876600,66876600,-4173,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc10g084600,GSM989347,3205,2287,Solyc10,63383923,63385161,0.974052,0.0358,transcription_start_site,-,63383505,63383505,-1037,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g014130,GSM989347,3248,2317,Solyc08,3734314,3735153,0.966618,0.03979,transcription_start_site,+,3735181,3735181,-447,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc10g006880,GSM989348,321,109,Solyc10,1309784,1310240,1.906171,0,transcription_start_site,-,1308341,1308341,-1671,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc04g080250,GSM989348,376,141,Solyc04,62083838,62084042,1.775746,0.04184,transcription_start_site,+,62084379,62084379,-439,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc06g053950,GSM989348,412,161,Solyc06,33336448,33337153,1.72357,0.04595,transcription_start_site,-,33333111,33333111,-3689,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc03g114360,GSM989348,417,166,Solyc03,58424759,58425465,1.707268,0.04595,transcription_start_site,-,58424179,58424179,-933,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g088270,GSM989348,579,265,Solyc02,44991538,44992550,1.553726,0.01645,transcription_start_site,+,44993538,44993538,-1494,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g088270,GSM989348,624,295,Solyc02,44993429,44994042,1.514883,0.01842,transcription_start_site,+,44993538,44993538,197,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g005610,GSM989348,719,354,Solyc08,476289,477044,1.474557,0.01842,transcription_start_site,+,477231,477231,-564,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc03g082560,GSM989348,771,386,Solyc03,46037973,46039473,1.441693,0.04167,transcription_start_site,+,46042581,46042581,-3858,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g083380,GSM989348,864,450,Solyc02,41385972,41386908,1.398353,0.02392,transcription_start_site,+,41387877,41387877,-1437,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g084600,GSM989348,1066,582,Solyc02,42271347,42272121,1.320667,0.04541,transcription_start_site,-,42271326,42271326,-408,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g078870,GSM989348,1174,660,Solyc08,59726273,59727860,1.285512,0.03828,transcription_start_site,+,59727949,59727949,-882,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g080630,GSM989348,1178,663,Solyc08,61045989,61046947,1.285512,0.04541,transcription_start_site,-,61046760,61046760,292,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc07g042390,GSM989348,1239,704,Solyc07,52853522,52854631,1.2752,0.04541,transcription_start_site,-,52853436,52853436,-640,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc07g063600,GSM989348,1601,929,Solyc07,63271058,63272361,1.162683,0.04979,transcription_start_site,-,63268089,63268089,-3620,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989348,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc10g006880,GSM989349,346,128,Solyc10,1309879,1310328,1.898701,0.01425,transcription_start_site,-,1308341,1308341,-1762,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc03g114360,GSM989349,364,141,Solyc03,58424581,58425057,1.859635,0.01974,transcription_start_site,-,58424179,58424179,-640,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc03g082560,GSM989349,429,183,Solyc03,46039512,46039795,1.778781,0.01812,transcription_start_site,+,46042581,46042581,-2927,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc03g118060,GSM989349,502,226,Solyc03,61100317,61100484,1.738354,0.01777,transcription_start_site,-,61098794,61098794,-1606,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc10g079050,GSM989349,510,232,Solyc10,60006634,60007978,1.729928,0.03158,transcription_start_site,-,60006146,60006146,-1160,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g005770,GSM989349,512,234,Solyc08,601118,601482,1.718296,0.01868,transcription_start_site,+,602701,602701,-1401,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc06g053950,GSM989349,527,247,Solyc06,33336293,33337609,1.700156,0.01812,transcription_start_site,-,33333111,33333111,-3840,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc06g068900,GSM989349,630,313,Solyc06,39106736,39107208,1.622876,0.02412,transcription_start_site,+,39107375,39107375,-403,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc01g104850,GSM989349,637,319,Solyc01,84939383,84939837,1.621957,0.01654,transcription_start_site,+,84940183,84940183,-573,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc01g066740,GSM989349,711,369,Solyc01,67294948,67295547,1.580368,0.01714,transcription_start_site,-,67294689,67294689,-558,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc09g092430,GSM989349,742,392,Solyc09,66872349,66872660,1.562742,0.01714,transcription_start_site,+,66876600,66876600,-4095,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g084600,GSM989349,771,413,Solyc02,42271657,42272267,1.546939,0.03421,transcription_start_site,-,42271326,42271326,-636,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc04g064870,GSM989349,777,418,Solyc04,55148081,55148558,1.546358,0.0307,transcription_start_site,+,55150699,55150699,-2379,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc07g054750,GSM989349,808,443,Solyc07,60307997,60308277,1.529952,0.01775,transcription_start_site,-,60303161,60303161,-4976,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989349,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
