probe_id,gene_id,mapping_status,max_exact_probe_hits,qualified_signature_targets
AFFX-DapX-5_at,,unmapped,0,
AFFX-Les-r2-Bs-thr-3_s_at,,unmapped,0,
Les.1047.1.S1_at,,unmapped,0,
Les.1073.1.S1_at,,unmapped,0,
AFFX-Le_PhyB2_5_at,,unmapped,0,
AFFX-Le_Ubiquitin_M_at,,unmapped,0,
AFFX-CreX-5_at,,unmapped,0,
AFFX-LysX-M_at,,unmapped,0,
AFFX-Les-r2-Ec-bioB-5_at,,unmapped,0,
Les.1008.1.A1_at,,unmapped,0,
Les.1034.1.A1_at,,unmapped,0,
AFFX-r2-TagC_at,,unmapped,0,
AFFX-r2-Bs-phe-3_at,,unmapped,0,
AFFX-Les-ef1a-5_x_at,,unmapped,0,
AFFX-r2-P1-cre-5_at,,unmapped,0,
Les.1054.2.S1_at,,unmapped,0,
Les.1047.2.A1_at,,unmapped,0,
AFFX-r2-Bs-lys-3_at,,unmapped,0,
AFFX-Les-TrpnX-5_at,,unmapped,0,
AFFX-Les-ef1a-5_a_at,,unmapped,0,
Les.1083.1.S1_at,Solyc05g053310,one_to_one_signature_target,8,Solyc05g053310
AFFX-Les-actin-5_at,,unmapped,0,
Les.1076.1.A1_at,,unmapped,0,
Les.104.1.S1_at,,unmapped,0,
AFFX-r2-Bs-thr-3_s_at,,unmapped,0,
Les.107.1.S1_at,,unmapped,0,
AFFX-r2-TagQ-5_at,,unmapped,0,
Les.1089.1.A1_at,,unmapped,0,
AFFX-Les-r2-Ec-bioD-3_at,,unmapped,0,
Les.1015.1.A1_at,,unmapped,0,
Les.1041.1.A1_at,,unmapped,0,
AFFX-r2-Bs-dap-M_at,,unmapped,0,
AFFX-TrpnX-3_at,,unmapped,0,
AFFX-r2-TagH_at,,unmapped,0,
Les.1108.1.A1_at,,unmapped,0,
Les.1018.1.A1_at,,unmapped,0,
Les.1044.1.A1_at,,unmapped,0,
AFFX-BioB-5_at,,unmapped,0,
Les.11.1.S1_at,,unmapped,0,
Les.1054.1.S1_at,,unmapped,0,
AFFX-Le_GlutTrans_5_at,,unmapped,0,
Les.101.1.S1_at,,unmapped,0,
AFFX-r2-TagO-3_at,,unmapped,0,
AFFX-r2-Ec-bioC-3_at,,unmapped,0,
Les.1054.3.A1_at,,unmapped,0,
AFFX-DapX-M_at,,unmapped,0,
AFFX-Le_PhyB2_M_at,,unmapped,0,
AFFX-BioDn-5_at,,unmapped,0,
AFFX-Les-ef1a-5_at,,unmapped,0,
Les.1051.1.A1_at,,unmapped,0,
AFFX-Les-r2-Bs-dap-3_at,,unmapped,0,
AFFX-Les-r2-Bs-phe-5_at,,unmapped,0,
Les.1080.1.A1_at,,unmapped,0,
Les.1032.3.S1_at,,unmapped,0,
AFFX-Les-r2-Ec-bioB-M_at,,unmapped,0,
AFFX-Les-r2-Bs-lys-5_at,,unmapped,0,
Les.1064.1.S1_at,,unmapped,0,
Les.111.1.S1_at,,unmapped,0,
AFFX-PheX-5_at,,unmapped,0,
Les.1067.1.A1_at,,unmapped,0,
AFFX-ThrX-5_at,,unmapped,0,
AFFX-r2-TagD_at,,unmapped,0,
AFFX-r2-TagIN-5_at,,unmapped,0,
Les.1022.1.A1_at,,unmapped,0,
AFFX-Les-TrpnX-M_at,,unmapped,0,
AFFX-Les-actin-M_at,,unmapped,0,
AFFX-Les-ef1a-M_a_at,,unmapped,0,
AFFX-Le_25SrRNA_at,,unmapped,0,
AFFX-Les-r2-Ec-bioC-5_at,,unmapped,0,
Les.1061.1.A1_at,,unmapped,0,
AFFX-r2-TagJ-5_at,,unmapped,0,
Les.1032.2.S1_at,,unmapped,0,
AFFX-BioB-M_at,,unmapped,0,
AFFX-r2-Ec-bioB-5_at,,unmapped,0,
Les.1077.1.S1_at,,unmapped,0,
Les.108.1.S1_at,,unmapped,0,
Les.1032.1.A1_at,,unmapped,0,
AFFX-Les-gapdh-5_at,,unmapped,0,
AFFX-Le_Ubiquitin_3_at,,unmapped,0,
AFFX-Les-r2-P1-cre-3_s_at,,unmapped,0,
Les.1009.1.A1_at,,unmapped,0,
AFFX-LysX-3_at,,unmapped,0,
AFFX-BioC-5_at,,unmapped,0,
Les.1074.1.A1_at,,unmapped,0,
Les.102.1.S1_at,,unmapped,0,
Les.1000.1.A1_at,,unmapped,0,
Les.1081.2.S1_at,,unmapped,0,
AFFX-Les-r2-Bs-phe-M_at,,unmapped,0,
Les.1058.1.S1_at,,unmapped,0,
AFFX-r2-Ec-bioD-3_at,,unmapped,0,
Les.105.1.S1_at,,unmapped,0,
AFFX-Les-r2-Bs-lys-M_at,,unmapped,0,
Les.1103.1.A1_at,,unmapped,0,
AFFX-PheX-M_at,,unmapped,0,
Les.1042.1.A1_at,,unmapped,0,
AFFX-ThrX-M_at,,unmapped,0,
Les.1019.1.A1_at,,unmapped,0,
AFFX-r2-TagIN-M_at,,unmapped,0,
AFFX-r2-TagE_at,,unmapped,0,
AFFX-r2-Bs-dap-3_at,,unmapped,0,
Les.1081.1.S1_at,,unmapped,0,
AFFX-r2-Bs-phe-5_at,,unmapped,0,
Les.1100.1.A1_at,,unmapped,0,
AFFX-Les-r2-Bs-thr-5_s_at,,unmapped,0,
Les.1081.3.A1_at,,unmapped,0,
Les.1068.1.S1_at,,unmapped,0,
AFFX-r2-Bs-lys-5_at,,unmapped,0,
Les.1087.1.A1_at,,unmapped,0,
Les.1013.1.A1_at,,unmapped,0,
Les.1113.1.A1_at,,unmapped,0,
AFFX-r2-Ec-bioB-M_at,,unmapped,0,
AFFX-Les-r2-Ec-bioD-5_at,,unmapped,0,
Les.1052.1.A1_at,,unmapped,0,
AFFX-DapX-3_at,,unmapped,0,
AFFX-TrpnX-5_at,,unmapped,0,
Les.1062.1.S1_at,,unmapped,0,
AFFX-Le_PhyB2_3_at,,unmapped,0,
AFFX-Les-gapdh-M_at,,unmapped,0,
Les.1039.1.S1_at,,unmapped,0,
Les.1039.2.A1_at,,unmapped,0,
Les.1255.1.S1_at,,unmapped,0,
Les.1338.1.A1_at,,unmapped,0,
Les.1274.1.A1_at,,unmapped,0,
Les.1200.1.A1_at,,unmapped,0,
Les.115.1.A1_at,,unmapped,0,
Les.1158.2.A1_at,,unmapped,0,
Les.1258.1.S1_at,Solyc12g006470,one_to_one_signature_target,11,Solyc12g006470
Les.1287.1.A1_at,,unmapped,0,
Les.1213.1.A1_at,,unmapped,0,
Les.1197.1.S1_at,,unmapped,0,
Les.128.1.S1_at,,unmapped,0,
Les.1197.2.A1_at,,unmapped,0,
Les.1297.1.S1_at,,unmapped,0,
Les.1226.1.S1_at,,unmapped,0,
Les.1252.1.S1_at,,unmapped,0,
Les.1229.1.A1_at,,unmapped,0,
Les.1281.1.A1_at,,unmapped,0,
Les.1239.1.S1_at,,unmapped,0,
Les.122.1.S1_at,,unmapped,0,
Les.1348.1.A1_at,,unmapped,0,
Les.1168.1.A1_at,,unmapped,0,
Les.1175.2.S1_at,,unmapped,0,
Les.135.1.S1_at,,unmapped,0,
Les.1310.1.S1_at,,unmapped,0,
Les.1123.1.A1_at,,unmapped,0,
Les.1223.1.A1_at,,unmapped,0,
Les.1297.2.A1_at,,unmapped,0,
Les.1323.1.S1_at,,unmapped,0,
Les.1316.1.A1_at,,unmapped,0,
Les.1207.2.S1_at,,unmapped,0,
Les.1146.1.S1_at,,unmapped,0,
Les.1139.1.A1_at,,unmapped,0,
Les.1207.3.S1_at,,unmapped,0,
Les.1291.1.A1_at,,unmapped,0,
Les.1175.1.S1_at,,unmapped,0,
Les.132.1.S1_at,,unmapped,0,
Les.1221.3.S1_s_at,,unmapped,0,
Les.1268.1.A1_at,,unmapped,0,
Les.1220.1.A1_at,,unmapped,0,
Les.1175.3.A1_at,,unmapped,0,
Les.119.1.S1_at,,unmapped,0,
Les.1233.1.A1_at,,unmapped,0,
Les.1304.2.S1_at,,unmapped,0,
Les.1323.2.A1_at,,unmapped,0,
Les.1352.1.A1_at,,unmapped,0,
Les.1172.1.A1_at,,unmapped,0,
Les.1262.1.A1_at,,unmapped,0,
Les.13.1.S1_at,,unmapped,0,
Les.1217.2.S1_at,,unmapped,0,
Les.1182.1.S1_at,,unmapped,0,
Les.1149.1.A1_at,,unmapped,0,
Les.113.1.S1_at,Solyc03g116510,one_to_one_signature_target,7,Solyc03g116510
Les.1339.1.A1_at,,unmapped,0,
Les.1159.1.S1_at,,unmapped,0,
Les.1249.1.S1_at,,unmapped,0,
Les.1159.2.A1_at,,unmapped,0,
Les.1249.2.A1_at,,unmapped,0,
Les.1114.1.A1_at,,unmapped,0,
Les.1320.1.A1_at,,unmapped,0,
Les.1140.1.A1_at,,unmapped,0,
Les.1230.1.A1_at,,unmapped,0,
Les.1288.1.S1_at,,unmapped,0,
Les.129.1.S1_at,,unmapped,0,
Les.1330.1.S1_at,,unmapped,0,
Les.1143.1.A1_at,,unmapped,0,
Les.1248.2.S1_a_at,,unmapped,0,
Les.1307.1.A1_at,,unmapped,0,
Les.1333.1.A1_at,,unmapped,0,
Les.1217.1.S1_at,,unmapped,0,
Les.1153.1.S1_at,Solyc04g016330,one_to_one_signature_target,11,Solyc04g016330
Les.1156.1.A1_at,,unmapped,0,
Les.1217.3.A1_at,,unmapped,0,
Les.1275.1.A1_at,,unmapped,0,
Les.1185.1.A1_at,,unmapped,0,
Les.123.1.S1_at,,unmapped,0,
Les.1349.1.A1_at,,unmapped,0,
Les.1192.2.S1_at,Solyc02g089080,one_to_one_signature_target,11,Solyc02g089080
Les.126.1.S1_at,,unmapped,0,
Les.1121.1.S1_at,,unmapped,0,
Les.1198.1.A1_at,,unmapped,1,
Les.1304.1.A1_at,,unmapped,0,
Les.1214.1.A1_at,,unmapped,0,
Les.1124.1.A1_at,,unmapped,0,
Les.1169.2.S1_at,,unmapped,0,
Les.1221.2.S1_at,,unmapped,0,
Les.1298.1.S1_at,,unmapped,0,
Les.1314.1.S1_at,,unmapped,0,
Les.1250.1.S1_at,,unmapped,0,
Les.1243.1.A1_at,,unmapped,0,
Les.1343.1.A1_at,,unmapped,0,
Les.1250.2.S1_at,,unmapped,0,
Les.1250.3.A1_at,,unmapped,0,
Les.1346.1.A1_at,,unmapped,0,
Les.1166.1.A1_at,,unmapped,0,
Les.1256.1.A1_at,,unmapped,0,
Les.1282.1.A1_at,,unmapped,0,
Les.1192.1.A1_at,Solyc02g089080,one_to_one_signature_target,7,Solyc02g089080
Les.1169.1.A1_at,,unmapped,0,
Les.1195.1.A1_at,,unmapped,0,
Les.1211.1.A1_at,,unmapped,0,
Les.1311.1.A1_at,,unmapped,0,
Les.1192.3.A1_at,,unmapped,0,
Les.1131.1.S1_at,,unmapped,0,
Les.1224.1.A1_at,,unmapped,0,
Les.1205.2.S1_at,,unmapped,0,
Les.1324.1.S1_at,,unmapped,0,
Les.1260.1.S1_at,,unmapped,0,
Les.1137.1.A1_at,,unmapped,0,
Les.1163.1.A1_at,,unmapped,0,
Les.1205.3.S1_at,,unmapped,0,
Les.130.1.S1_at,,unmapped,0,
Les.1179.1.A1_at,,unmapped,0,
Les.1221.1.A1_at,,unmapped,0,
Les.1321.1.S1_at,,unmapped,0,
Les.1141.1.S1_at,,unmapped,0,
Les.1208.1.A1_at,,unmapped,0,
Les.1234.1.A1_at,,unmapped,0,
Les.1350.1.A1_at,,unmapped,0,
Les.1170.1.A1_at,,unmapped,0,
Les.1244.1.S1_at,,unmapped,0,
Les.1147.1.A1_at,,unmapped,0,
Les.1237.1.A1_at,,unmapped,0,
Les.1128.2.S1_at,,unmapped,0,
Les.1176.1.A1_at,,unmapped,0,
Les.1286.1.S1_at,,unmapped,0,
Les.1279.1.A1_at,,unmapped,0,
Les.1189.1.A1_at,,unmapped,0,
Les.1212.1.S1_at,,unmapped,0,
Les.1207.1.A1_s_at,,unmapped,0,
Les.1205.1.A1_at,,unmapped,0,
Les.1115.1.A1_at,,unmapped,0,
Les.1231.1.A1_at,,unmapped,0,
Les.1125.1.S1_at,,unmapped,0,
Les.1241.1.S1_at,,unmapped,0,
Les.1118.1.A1_at,,unmapped,0,
Les.1144.1.A1_at,,unmapped,0,
Les.1308.1.A1_at,,unmapped,0,
Les.1334.1.A1_at,,unmapped,0,
Les.1157.1.A1_at,,unmapped,0,
Les.1183.1.A1_at,,unmapped,0,
Les.1128.3.A1_at,,unmapped,0,
Les.1254.2.S1_at,,unmapped,0,
Les.1186.1.A1_at,,unmapped,0,
Les.124.1.S1_at,,unmapped,0,
Les.1302.1.A1_at,,unmapped,0,
Les.127.1.S1_at,,unmapped,0,
Les.1289.1.A1_at,,unmapped,0,
Les.1305.1.A1_at,,unmapped,0,
Les.1331.1.A1_at,,unmapped,0,
Les.1151.1.A1_at,,unmapped,0,
Les.1315.1.S1_at,,unmapped,0,
Les.1225.1.S1_at,,unmapped,0,
Les.1154.1.A1_at,,unmapped,0,
Les.1344.1.A1_at,,unmapped,0,
Les.1254.1.A1_at,,unmapped,0,
Les.1225.2.S1_at,,unmapped,0,
Les.1164.1.S1_at,,unmapped,0,
Les.1164.2.A1_at,,unmapped,0,
Les.1167.1.A1_at,,unmapped,0,
Les.1193.1.A1_at,,unmapped,0,
Les.1122.1.A1_at,,unmapped,0,
Les.1135.1.A1_at,,unmapped,0,
Les.1209.1.S1_at,,unmapped,0,
Les.1138.1.A1_at,,unmapped,0,
Les.1328.1.A1_at,,unmapped,0,
Les.1190.1.A1_at,,unmapped,0,
Les.1290.1.A1_at,,unmapped,0,
Les.1238.1.S1_at,,unmapped,0,
Les.1238.2.A1_at,,unmapped,0,
Les.1174.1.S1_at,,unmapped,0,
Les.131.1.S1_at,,unmapped,0,
Les.1267.1.A1_at,,unmapped,0,
Les.1277.1.S1_at,,unmapped,0,
Les.1296.1.A1_at,,unmapped,0,
Les.1132.1.A1_at,,unmapped,0,
Les.1222.1.A1_at,,unmapped,0,
Les.1119.1.A1_at,,unmapped,0,
Les.1325.1.A1_at,,unmapped,0,
Les.1235.1.A1_at,,unmapped,0,
Les.1351.1.A1_at,,unmapped,0,
Les.1171.1.A1_at,,unmapped,0,
Les.1261.1.A1_at,,unmapped,0,
Les.12.1.S1_at,,unmapped,0,
Les.1155.1.S1_at,,unmapped,0,
Les.1148.1.A1_at,,unmapped,0,
Les.112.1.S1_at,,unmapped,0,
Les.1158.1.S1_at,,unmapped,0,
Les.1248.2.A1_at,,unmapped,0,
Les.1203.1.A1_at,,unmapped,0,
Les.1277.2.A1_at,,unmapped,0,
Les.1116.1.A1_at,,unmapped,0,
Les.1232.1.A1_at,,unmapped,0,
Les.1287.2.S1_at,,unmapped,0,
Les.1216.1.S1_at,,unmapped,0,
Les.1152.1.S1_at,,unmapped,0,
Les.1219.1.A1_at,,unmapped,0,
Les.1245.1.A1_at,,unmapped,0,
Les.1181.1.A1_at,,unmapped,0,
Les.1271.1.A1_at,,unmapped,0,
Les.1129.1.S1_at,,unmapped,0,
Les.1438.1.A1_at,,unmapped,0,
Les.1464.2.A1_at,,unmapped,0,
Les.1557.1.A1_at,,unmapped,0,
Les.1467.1.A1_at,,unmapped,0,
Les.1406.1.A1_at,,unmapped,0,
Les.1432.1.A1_at,,unmapped,0,
Les.1506.1.S1_at,,unmapped,0,
Les.1532.1.S1_at,,unmapped,0,
Les.1442.1.S1_at,,unmapped,0,
Les.1409.1.A1_at,,unmapped,0,
Les.1525.1.A1_at,,unmapped,0,
Les.1371.1.A1_at,,unmapped,0,
Les.1442.2.S1_at,,unmapped,0,
Les.1509.1.S1_at,,unmapped,0,
Les.1419.1.S1_at,,unmapped,0,
Les.1561.1.S1_at,,unmapped,0,
Les.1374.1.A1_at,,unmapped,0,
Les.1538.1.A1_at,,unmapped,0,
Les.1448.1.A1_at,,unmapped,0,
Les.1567.1.A1_at,,unmapped,0,
Les.1477.1.A1_at,,unmapped,0,
Les.1416.1.A1_at,,unmapped,0,
Les.1532.2.A1_at,,unmapped,0,
Les.1445.1.A1_at,,unmapped,0,
Les.1381.1.A1_at,,unmapped,0,
Les.1419.2.A1_at,,unmapped,0,
Les.1455.1.S1_at,,unmapped,0,
Les.1358.1.A1_at,,unmapped,0,
Les.1384.1.A1_at,,unmapped,0,
Les.1574.1.A1_at,,unmapped,0,
Les.1484.1.A1_at,,unmapped,0,
Les.1410.1.A1_at,,unmapped,0,
Les.1500.1.A1_at,,unmapped,0,
Les.1558.1.S1_at,,unmapped,0,
Les.145.1.S1_at,,unmapped,0,
Les.1577.1.A1_at,,unmapped,0,
Les.1510.1.S1_at,,unmapped,0,
Les.1397.1.A1_at,,unmapped,0,
Les.1487.1.A1_at,,unmapped,0,
Les.1413.1.A1_at,,unmapped,0,
Les.1503.1.A1_at,,unmapped,0,
Les.1516.1.A1_at,,unmapped,0,
Les.1542.1.A1_at,,unmapped,0,
Les.1452.1.A1_at,,unmapped,0,
Les.1426.1.S1_at,,unmapped,0,
Les.1362.1.S1_at,,unmapped,0,
Les.1362.2.A1_at,,unmapped,0,
Les.1519.1.A1_at,,unmapped,0,
Les.1429.1.A1_at,,unmapped,0,
Les.1481.1.A1_at,,unmapped,0,
Les.1564.1.S1_s_at,,unmapped,0,
Les.1439.1.S1_at,,unmapped,0,
Les.1465.1.S1_at,,unmapped,0,
Les.1491.1.S1_at,,unmapped,0,
Les.1394.1.A1_at,,unmapped,0,
Les.1558.2.A1_at,,unmapped,0,
Les.1420.1.S1_at,,unmapped,0,
Les.1510.2.A1_at,,unmapped,0,
Les.1420.2.A1_at,,unmapped,0,
Les.1401.3.S1_at,,unmapped,0,
Les.1523.1.S1_at,,unmapped,0,
Les.1433.1.S1_at,,unmapped,0,
Les.1562.1.S1_at,,unmapped,0,
Les.1529.1.A1_at,,unmapped,0,
Les.1555.1.A1_at,,unmapped,0,
Les.1375.1.A1_at,,unmapped,0,
Les.1581.1.A1_at,,unmapped,0,
Les.1439.2.A1_at,,unmapped,0,
Les.1401.1.S1_at,,unmapped,0,
Les.1568.1.A1_at,,unmapped,0,
Les.1401.2.S1_at,,unmapped,0,
Les.1478.1.S1_at,,unmapped,0,
Les.1528.1.A1_s_at,,unmapped,0,
Les.1417.1.S1_at,,unmapped,0,
Les.1507.1.S1_at,,unmapped,0,
Les.1433.2.A1_at,,unmapped,0,
Les.1436.1.A1_at,,unmapped,0,
Les.1462.1.A1_at,,unmapped,0,
Les.1536.1.A1_at,,unmapped,0,
Les.1472.1.S1_at,,unmapped,0,
Les.1516.1.S1_s_at,,unmapped,0,
Les.1539.1.A1_at,,unmapped,0,
Les.136.1.S1_at,,unmapped,0,
Les.1485.1.S1_at,,unmapped,0,
Les.1430.1.A1_at,,unmapped,0,
Les.1475.1.S1_s_at,,unmapped,0,
Les.1507.2.S1_s_at,,unmapped,0,
Les.1501.2.S1_at,,unmapped,0,
Les.1440.1.S1_at,,unmapped,0,
Les.1440.2.A1_at,,unmapped,0,
Les.1353.1.A1_at,,unmapped,0,
Les.1443.1.A1_at,,unmapped,0,
Les.1424.2.S1_at,,unmapped,0,
Les.1517.1.S1_at,,unmapped,0,
Les.1356.1.A1_at,,unmapped,0,
Les.1446.1.A1_at,,unmapped,0,
Les.1382.1.A1_at,,unmapped,0,
Les.1543.2.S1_at,,unmapped,0,
Les.1549.1.A1_at,,unmapped,0,
Les.1459.1.A1_at,,unmapped,0,
Les.1501.1.A1_at,,unmapped,0,
Les.1485.2.A1_at,,unmapped,0,
Les.146.1.S1_at,,unmapped,0,
Les.1495.1.S1_at,,unmapped,0,
Les.1488.1.A1_at,,unmapped,0,
Les.1532.3.S1_s_at,,unmapped,0,
Les.1504.1.A1_at,,unmapped,0,
Les.1511.2.S1_at,,unmapped,0,
Les.149.1.S1_at,,unmapped,0,
Les.1498.1.S1_at,,unmapped,0,
Les.1514.1.S1_at,,unmapped,0,
Les.1424.1.S1_at,,unmapped,0,
Les.1360.1.S1_at,,unmapped,0,
Les.1450.1.S1_at,,unmapped,0,
Les.1543.1.A1_at,,unmapped,0,
Les.14.1.S1_at,,unmapped,0,
Les.1453.1.A1_at,,unmapped,0,
Les.1424.3.A1_at,,unmapped,0,
Les.140.1.S1_at,,unmapped,0,
Les.1546.1.A1_at,,unmapped,0,
Les.1366.1.A1_at,,unmapped,0,
Les.1456.1.A1_at,,unmapped,0,
Les.1392.1.A1_at,,unmapped,0,
Les.143.1.S1_at,,unmapped,0,
Les.1492.1.S1_at,,unmapped,0,
Les.1369.1.A1_at,,unmapped,0,
Les.1492.2.A1_at,,unmapped,0,
Les.1395.1.A1_at,,unmapped,0,
Les.1511.1.A1_at,,unmapped,0,
Les.1421.1.A1_at,,unmapped,0,
Les.1569.1.S1_at,,unmapped,0,
Les.1408.1.S1_at,,unmapped,0,
Les.1434.1.S1_at,,unmapped,0,
Les.1360.2.A1_at,,unmapped,0,
Les.1363.1.A1_at,,unmapped,0,
Les.1532.2.A1_s_at,,unmapped,0,
Les.1437.1.A1_at,,unmapped,0,
Les.1553.1.A1_at,,unmapped,0,
Les.1508.2.S1_at,,unmapped,0,
Les.1373.1.S1_at,,unmapped,0,
Les.1563.1.S1_at,,unmapped,0,
Les.150.1.S1_at,,unmapped,0,
Les.1556.1.A1_at,,unmapped,0,
Les.1376.1.A1_at,,unmapped,0,
Les.1376.2.A1_at,,unmapped,0,
Les.1386.1.S1_at,,unmapped,0,
Les.1379.1.A1_at,,unmapped,0,
Les.1431.1.A1_at,,unmapped,0,
Les.1389.1.S1_at,,unmapped,0,
Les.1531.1.S1_at,,unmapped,0,
Les.1524.1.A1_at,,unmapped,0,
Les.1355.1.A1_s_at,,unmapped,0,
Les.1460.1.A1_at,,unmapped,0,
Les.1399.2.S1_at,,unmapped,0,
Les.1408.2.A1_at,,unmapped,0,
Les.1434.2.A1_at,,unmapped,0,
Les.1444.1.S1_at,,unmapped,0,
Les.1354.1.S1_at,,unmapped,0,
Les.1560.1.S1_at,,unmapped,0,
Les.1470.2.S1_at,,unmapped,0,
Les.153.1.A1_at,,unmapped,0,
Les.1386.2.A1_at,,unmapped,0,
Les.137.1.S1_at,,unmapped,0,
Les.1479.1.A1_at,,unmapped,0,
Les.1502.1.S1_at,,unmapped,0,
Les.1505.1.A1_at,,unmapped,0,
Les.1415.1.S1_at,,unmapped,0,
Les.1441.1.S1_at,,unmapped,0,
Les.1415.2.A1_at,,unmapped,0,
Les.1508.1.A1_at,,unmapped,0,
Les.1380.1.A1_at,,unmapped,0,
Les.1470.1.A1_at,,unmapped,0,
Les.1518.1.S1_at,,unmapped,0,
Les.1444.2.A1_at,,unmapped,0,
Les.1570.1.S1_at,,unmapped,0,
Les.1573.1.A1_at,,unmapped,0,
Les.1393.1.S1_at,,unmapped,0,
Les.1393.2.A1_at,,unmapped,0,
Les.144.1.S1_at,,unmapped,0,
Les.147.1.S1_at,Solyc12g006140,one_to_one_signature_target,11,Solyc12g006140
Les.1396.2.A1_at,,unmapped,0,
Les.1512.1.S1_at,,unmapped,0,
Les.1399.1.A1_at,,unmapped,0,
Les.1422.1.S1_at,,unmapped,0,
Les.1541.1.A1_at,,unmapped,0,
Les.1544.1.A1_at,,unmapped,0,
Les.1364.1.A1_at,,unmapped,0,
Les.1454.1.A1_at,,unmapped,0,
Les.15.1.S1_at,,unmapped,0,
Les.1409.2.S1_at,,unmapped,0,
Les.1518.2.A1_at,,unmapped,0,
Les.1464.1.S1_at,,unmapped,0,
Les.141.1.S1_at,,unmapped,0,
Les.1409.3.S1_at,,unmapped,0,
Les.1528.2.S1_at,,unmapped,0,
Les.1493.1.S1_at,,unmapped,0,
Les.157.1.S1_at,,unmapped,0,
Les.1499.1.A1_at,,unmapped,0,
Les.1451.1.A1_at,,unmapped,0,
Les.1432.2.S1_at,,unmapped,0,
Les.1618.1.A1_at,,unmapped,0,
