gene_id,gene_name,gene_biotype,gene_description,tf_family,ensembl_gene_stable_id,ensembl_gene_name,refseq_mrna_id,annotation_source,annotation_release,mapping_status
Solyc01g074030,Solyc01g074030.3,protein_coding,Beta-glucosidase (AHRD V3.3 *** Q43014_PRUAV) && sp|Q75W17|FURH_VIBFR Furcatin hydrolase OS=Viburnum furcatum OX=237940 PE=1 SV=1 && PF00232:Glycosyl hydrolase family 1,Glyco_hydro_1,gene-Solyc01g074030.3,,NM_001247483,Ensembl Plants BioMart,63,one_to_one
Solyc02g083680,,,,,,,,Ensembl Plants BioMart,63,not_mapped_in_export
Solyc08g005630,Solyc08g005630.3,protein_coding,Long-chain-alcohol oxidase (AHRD V3.3 *** R9R6I9_SOLLC) && sp|O65709|FAO4A_ARATH Long-chain-alcohol oxidase FAO4A OS=Arabidopsis thaliana OX=3702 GN=FAO4A PE=3 SV=2 && PF00732:GMC oxidoreductase|PF05199:GMC oxidoreductase,-,gene-Solyc08g005630.3,,NM_001330992,Ensembl Plants BioMart,63,one_to_one
Solyc10g079050,Solyc10g079050.2,protein_coding,BHLH transcription factor o95 && sp|Q66GR3|BH130_ARATH Transcription factor bHLH130 OS=Arabidopsis thaliana OX=3702 GN=BHLH130 PE=1 SV=1 && PF00010:Helix-loop-helix DNA-binding domain,HLH,gene-Solyc10g079050.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g081220,Solyc08g081220.1,protein_coding,Cytochrome P450 (AHRD V3.3 *** A0A200Q5S5_9MAGN) && sp|B3RFJ6|86A22_PETHY Cytochrome P450 86A22 OS=Petunia hybrida OX=4102 GN=CYP86A22 PE=1 SV=1 && PF00067:Cytochrome P450,p450,gene-Solyc08g081220.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g104900,Solyc01g104900.3,protein_coding,NAC domain-containing protein (AHRD V3.3 *** A0A2U1K9C2_ARTAN) && sp|Q8GWK6|NC104_ARATH NAC domain-containing protein 104 OS=Arabidopsis thaliana OX=3702 GN=NAC104 PE=2 SV=1 && PF02365:No apical meristem (NAM) protein,NAM,gene-Solyc01g104900.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g007930,Solyc03g007930.4,protein_coding,Unknown protein && sp|A7PZL3|PGLR_VITVI Probable polygalacturonase OS=Vitis vinifera OX=29760 GN=GSVIVT00026920001 PE=1 SV=1 && -,-,gene-Solyc03g007930.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc07g022900,Solyc07g022900.4,protein_coding,"Chlorophyll a-b binding protein && sp|Q9C639|LHCA5_ARATH Photosystem I chlorophyll a/b-binding protein 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCA5 PE=1 SV=1 && PF00504:Chlorophyll A-B binding protein",-,gene-Solyc07g022900.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g013340,Solyc03g013340.3,protein_coding,NOD26-like intrinsic protein 2.1 && sp|Q19KC1|NIP21_MAIZE Aquaporin NIP2-1 OS=Zea mays OX=4577 GN=NIP2-1 PE=2 SV=2 && PF00230:Major intrinsic protein,-,gene-Solyc03g013340.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g015630,Solyc12g015630.2,protein_coding,transmembrane protein (AHRD V3.3 *** AT5G55570.1) && - && PF08792:A2L zinc ribbon domain,-,gene-Solyc12g015630.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g018140,Solyc10g018140.2,protein_coding,Dihydroflavonol-4-reductase (AHRD V3.3 *** A0A2K3N028_TRIPR) && sp|Q40316|VESTR_MEDSA Vestitone reductase OS=Medicago sativa OX=3879 PE=1 SV=1 && PF01073:3-beta hydroxysteroid dehydrogenase/isomerase family,-,gene-Solyc10g018140.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g080390,Solyc10g080390.2,protein_coding,serine/threonine-protein kinase Nek6-like isoform X1 (AHRD V3.3 *** A0A2I4G4E6_9ROSI) && sp|Q9LT35|NEK6_ARATH Serine/threonine-protein kinase Nek6 OS=Arabidopsis thaliana OX=3702 GN=NEK6 PE=3 SV=1 && PF00069:Protein kinase domain,Pkinase,gene-Solyc10g080390.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc04g080250,Solyc04g080250.3,protein_coding,Deoxyuridine 5'-triphosphate nucleotidohydrolase (AHRD V3.3 *** A0A2G3AX44_CAPCH) && sp|Q9STG6|DUT_ARATH Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Arabidopsis thaliana OX=3702 GN=DUT PE=1 SV=1 && PF00692:dUTPase,-,gene-Solyc04g080250.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc09g072560,Solyc09g072560.5,protein_coding,11S globulin seed storage protein 2 (AHRD V3.11 *** tr_A0A2G2X5V4_A0A2G2X5V4_CAPBA) && sp|Q9XHP0|11S2_SESIN 11S globulin seed storage protein 2 OS=Sesamum indicum OX=4182 PE=1 SV=1 && PF00190:Cupin,-,gene-Solyc09g072560.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g088270,Solyc02g088270.3,protein_coding,hypothetical protein (DUF1997) (AHRD V3.3 *** AT5G39530.1) && - && PF09366:Protein of unknown function (DUF1997),-,gene-Solyc02g088270.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g117300,Solyc03g117300.4,protein_coding,Nodulin-like && - && PF06813:Nodulin-like,-,gene-Solyc03g117300.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc04g077640,Solyc04g077640.4,protein_coding,Serine carboxypeptidase (AHRD V3.3 *** A0A2K3MSK4_TRIPR) && sp|Q9C7Z9|SCP18_ARATH Serine carboxypeptidase-like 18 OS=Arabidopsis thaliana OX=3702 GN=SCPL18 PE=2 SV=2 && PF00450:Serine carboxypeptidase,Peptidase_S10,gene-Solyc04g077640.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g066260,Solyc08g066260.3,protein_coding,Serine decarboxylase (AHRD V3.3 *** A0A2G2VBA7_CAPBA) && sp|P54772|DCHS_SOLLC Histidine decarboxylase OS=Solanum lycopersicum OX=4081 GN=HDC PE=2 SV=1 && PF00282:Pyridoxal-dependent decarboxylase conserved domain,-,gene-Solyc08g066260.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g008430,,,,,gene-Solyc12g008430.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g091920,Solyc02g091920.3,protein_coding,xyloglucan endotransglucosylase-hydrolase 7 && sp|Q8LER3|XTH7_ARATH Probable xyloglucan endotransglucosylase/hydrolase protein 7 OS=Arabidopsis thaliana OX=3702 GN=XTH7 PE=2 SV=2 && PF00722:Glycosyl hydrolases family 16|PF06955:Xyloglucan endo-transglycosylase (XET) C-terminus,-,gene-Solyc02g091920.3,XTH7,,Ensembl Plants BioMart,63,one_to_one
Solyc05g010320,Solyc05g010320.4,protein_coding,Chalcone-flavonone isomerase family protein (AHRD V3.3 *** A0A193AUW5_SOLME) && sp|Q33DL3|CFI_TOBAC Chalcone--flavanone isomerase OS=Nicotiana tabacum OX=4097 GN=CHI PE=2 SV=1 && PF02431:Chalcone-flavanone isomerase,-,gene-Solyc05g010320.4,CHI1,NM_001320711,Ensembl Plants BioMart,63,one_to_one
Solyc02g081600,Solyc02g081600.4,protein_coding,Zinc transporter protein (AHRD V3.3 *-* A5BDR3_VITVI) && sp|A3BI11|ZIP8_ORYSJ Zinc transporter 8 OS=Oryza sativa subsp. japonica OX=39947 GN=ZIP8 PE=2 SV=1 && PF02535:ZIP Zinc transporter,-,gene-Solyc02g081600.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g115640,Solyc03g115640.3,protein_coding,"DUF538 domain-containing protein (AHRD V3.3 *** A0A1Q3AZJ7_CEPFO) && sp|Q9M015|Y5161_ARATH Uncharacterized protein At5g01610 OS=Arabidopsis thaliana OX=3702 GN=At5g01610 PE=1 SV=1 && PF04398:Protein of unknown function, DUF538",-,gene-Solyc03g115640.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc00g156980,,,,,,,,Ensembl Plants BioMart,63,not_mapped_in_export
Solyc01g108730,Solyc01g108730.3,protein_coding,Methyl esterase 1 (AHRD V3.11 *-* tr_A0A2U1LMY0_A0A2U1LMY0_ARTAN) && sp|O80476|MES2_ARATH Methylesterase 2 OS=Arabidopsis thaliana OX=3702 GN=MES2 PE=1 SV=1 && -,-,gene-Solyc01g108730.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g088100,Solyc02g088100.3,protein_coding,expansin precursor 5 && sp|Q9LDR9|EXP10_ARATH Expansin-A10 OS=Arabidopsis thaliana OX=3702 GN=EXPA10 PE=2 SV=1 && PF03330:Lytic transglycolase|PF01357:Pollen allergen,-,gene-Solyc02g088100.3,EXP5,,Ensembl Plants BioMart,63,one_to_one
Solyc07g042390,Solyc07g042390.3,protein_coding,Plant invertase/pectin methylesterase inhibitor superfamily protein (AHRD V3.3 *** A0A061GSW0_THECC) && sp|Q84WE4|PMEI3_ARATH Pectinesterase inhibitor 3 OS=Arabidopsis thaliana OX=3702 GN=PMEI3 PE=2 SV=1 && PF04043:Plant invertase/pectin methylesterase inhibitor,-,gene-Solyc07g042390.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc09g075810,Solyc09g075810.3,protein_coding,Mavicyanin (AHRD V3.3 *** A0A2G3CT63_CAPCH) && sp|P80728|MAVI_CUCPE Mavicyanin OS=Cucurbita pepo OX=3663 PE=1 SV=1 && PF02298:Plastocyanin-like domain,Cu_bind_like,gene-Solyc09g075810.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g080900,,,,,gene-Solyc10g080900.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g083400,Solyc10g083400.1,protein_coding,Cytochrome P450 (AHRD V3.3 *** A0A200Q6A4_9MAGN) && sp|Q9ZUX1|C94C1_ARATH Cytochrome P450 94C1 OS=Arabidopsis thaliana OX=3702 GN=CYP94C1 PE=1 SV=1 && PF00067:Cytochrome P450,p450,gene-Solyc10g083400.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc11g022590,Solyc11g022590.1,protein_coding,trypsin inhibitor-like protein precursor && sp|P13087|MIRA_SYNDU Miraculin OS=Synsepalum dulcificum OX=3743 PE=1 SV=3 && PF00197:Trypsin and protease inhibitor,-,gene-Solyc11g022590.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc11g012880,Solyc11g012880.2,protein_coding,EamA-like transporter family protein (AHRD V3.3 *** A0A2U1L2E6_ARTAN) && sp|Q9SFE9|GONS5_ARATH GDP-mannose transporter GONST5 OS=Arabidopsis thaliana OX=3702 GN=GONST5 PE=2 SV=1 && PF03151:Triose-phosphate Transporter family,-,gene-Solyc11g012880.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g007850,Solyc08g007850.1,protein_coding,Unknown protein && sp|O82752|DTX49_ARATH Protein DETOXIFICATION 49 OS=Arabidopsis thaliana OX=3702 GN=DTX49 PE=2 SV=1 && -,-,gene-Solyc08g007850.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g096870,Solyc12g096870.1,protein_coding,Glycosyltransferase (AHRD V3.3 *** A0A193AUF6_PUNGR) && sp|A0A193AU77|GGT24_PUNGR Gallate 1-beta-glucosyltransferase 84A24 OS=Punica granatum OX=22663 GN=UGT84A24 PE=1 SV=1 && PF00201:UDP-glucoronosyl and UDP-glucosyl transferase,UDPGT,gene-Solyc12g096870.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g062390,Solyc02g062390.3,protein_coding,abscisic acid and environmental stress-inducible protein TAS14 (AHRD V3.3 *-* A0A1U8FJ72_CAPAN) && - && PF00257:Dehydrin,-,gene-Solyc02g062390.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g104850,Solyc01g104850.3,protein_coding,Carboxypeptidase (AHRD V3.3 *** A0A1U8HG02_CAPAN) && sp|Q9FH05|SCP42_ARATH Serine carboxypeptidase-like 42 OS=Arabidopsis thaliana OX=3702 GN=SCPL42 PE=2 SV=1 && PF00450:Serine carboxypeptidase,Peptidase_S10,gene-Solyc01g104850.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g015380,Solyc05g015380.2,protein_coding,DNA-binding HORMA (AHRD V3.3 *-* A0A200R484_9MAGN) && sp|F4HRV8|ASY1_ARATH Meiosis-specific protein ASY1 OS=Arabidopsis thaliana OX=3702 GN=ASY1 PE=1 SV=1 && -,-,gene-Solyc05g015380.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g097770,Solyc01g097770.4,protein_coding,phototropin 2 && sp|P93025|PHOT2_ARATH Phototropin-2 OS=Arabidopsis thaliana OX=3702 GN=PHOT2 PE=1 SV=2 && PF00069:Protein kinase domain|PF13426:PAS domain,Pkinase,gene-Solyc01g097770.4,PHOT2,NM_001247360,Ensembl Plants BioMart,63,one_to_one
Solyc02g005110,Solyc02g005110.3,protein_coding,MADS-box protein SOC1 (AHRD V3.3 --* XP_025887600.1) && sp|K4D3V7|U76E1_SOLLC UDP-glycosyltransferase 76E1 OS=Solanum lycopersicum OX=4081 GN=UGT76E1 PE=1 SV=1 && -,-,gene-Solyc02g005110.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g098490,Solyc12g098490.2,protein_coding,Serine hydroxymethyltransferase (AHRD V3.3 *** A0A2G3CI35_CAPCH) && sp|O23254|GLYC4_ARATH Serine hydroxymethyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=SHM4 PE=1 SV=1 && PF00464:Serine hydroxymethyltransferase,SHMT,gene-Solyc12g098490.2,,,Ensembl Plants BioMart,63,one_to_one
