gene_id,effect_source_a,effect_source_b,same_direction,minimum_absolute_effect,effect_GSE267238,effect_GSE128739,all_four_measured,matching_direction_count,all_four_same_direction,minimum_absolute_effect_percentile,mean_absolute_effect_percentile,evidence_scope,candidate_rank,gene_name,gene_biotype,gene_description,tf_family
Solyc08g007240,-0.6346726190476192,-0.5856701078869047,True,0.5856701078869047,-4.337475058477518,-5.585352854642931,True,4,True,0.8038793103448276,0.8836953492076134,cross_cohort_expression_replication_only,11,Solyc08g007240.4,protein_coding,Nudix hydrolase 8 (AHRD V3.3 *** A0A1U8EVF7_CAPAN) && sp|Q8L7W2|NUDT8_ARATH Nudix hydrolase 8 OS=Arabidopsis thaliana OX=3702 GN=NUDT8 PE=2 SV=2 && PF18290:Nudix hydrolase domain|PF00293:NUDIX domain,NUDIX
Solyc03g121180,-0.7310500372023809,-0.8839343843005952,True,0.7310500372023809,-4.999171560723785,-4.551554026301019,True,4,True,0.7758620689655172,0.9284549952217888,cross_cohort_expression_replication_only,12,Solyc03g121180.4,protein_coding,GDSL esterase/lipase (AHRD V3.3 *** A0A2G3D0P9_CAPCH) && sp|Q9LU14|APG2_ARATH GDSL esterase/lipase APG OS=Arabidopsis thaliana OX=3702 GN=APG PE=2 SV=1 && PF00657:GDSL-like Lipase/Acylhydrolase,Lipase_GDSL
Solyc09g014350,-0.6325218563988095,-0.6600864955357142,True,0.6325218563988095,-2.9241481651490813,-5.357454505753417,True,4,True,0.7736720554272517,0.859366289718882,cross_cohort_expression_replication_only,13,Solyc09g014350.3,protein_coding,Glycerol-3-phosphate acyltransferase && sp|O80437|GPAT6_ARATH Glycerol-3-phosphate 2-O-acyltransferase 6 OS=Arabidopsis thaliana OX=3702 GN=GPAT6 PE=1 SV=1 && PF12710:haloacid dehalogenase-like hydrolase|PF01553:Acyltransferase,Acyltransferase
Solyc08g005630,0.6587611607142858,0.5572567894345238,True,0.5572567894345238,4.4889218423214325,6.695936312962971,True,4,True,0.7693965517241379,0.9011295990284304,cross_cohort_expression_replication_only,14,Solyc08g005630.3,protein_coding,Long-chain-alcohol oxidase (AHRD V3.3 *** R9R6I9_SOLLC) && sp|O65709|FAO4A_ARATH Long-chain-alcohol oxidase FAO4A OS=Arabidopsis thaliana OX=3702 GN=FAO4A PE=3 SV=2 && PF00732:GMC oxidoreductase|PF05199:GMC oxidoreductase,-
Solyc08g081220,-0.7006370907738095,-0.5556873139880951,True,0.5556873139880951,-3.4587353673244294,-5.089015235611079,True,4,True,0.7672413793103449,0.8615251951102971,cross_cohort_expression_replication_only,15,Solyc08g081220.1,protein_coding,Cytochrome P450 (AHRD V3.3 *** A0A200Q5S5_9MAGN) && sp|B3RFJ6|86A22_PETHY Cytochrome P450 86A22 OS=Petunia hybrida OX=4102 GN=CYP86A22 PE=1 SV=1 && PF00067:Cytochrome P450,p450
Solyc08g066240,0.5690976097470238,0.6887381417410714,True,0.5690976097470238,6.204198571301354,9.397889584913257,True,4,True,0.7650862068965517,0.9196041052799235,cross_cohort_expression_replication_only,16,Solyc08g066240.3,protein_coding,histidine decarboxylase && sp|P54772|DCHS_SOLLC Histidine decarboxylase OS=Solanum lycopersicum OX=4081 GN=HDC PE=2 SV=1 && PF00282:Pyridoxal-dependent decarboxylase conserved domain,-
Solyc04g080250,0.5977957589285716,0.5458635602678571,True,0.5458635602678571,3.693957890889605,5.011926076978184,True,4,True,0.7521551724137931,0.8372036015768097,cross_cohort_expression_replication_only,17,Solyc04g080250.3,protein_coding,Deoxyuridine 5'-triphosphate nucleotidohydrolase (AHRD V3.3 *** A0A2G3AX44_CAPCH) && sp|Q9STG6|DUT_ARATH Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Arabidopsis thaliana OX=3702 GN=DUT PE=1 SV=1 && PF00692:dUTPase,-
Solyc10g018140,0.5970865885416666,0.5479329427083335,True,0.5479329427083335,3.731319020386039,4.395741468972952,True,4,True,0.7521551724137931,0.8141126463327227,cross_cohort_expression_replication_only,18,Solyc10g018140.2,protein_coding,Dihydroflavonol-4-reductase (AHRD V3.3 *** A0A2K3N028_TRIPR) && sp|Q40316|VESTR_MEDSA Vestitone reductase OS=Medicago sativa OX=3879 PE=1 SV=1 && PF01073:3-beta hydroxysteroid dehydrogenase/isomerase family,-
Solyc10g007600,-0.8172781808035714,-0.8639206659226192,True,0.8172781808035714,-2.7836811953855864,-6.5314850436108784,True,4,True,0.74364896073903,0.9229812057019988,cross_cohort_expression_replication_only,19,Solyc10g007600.3,protein_coding,glycolate oxidase && sp|Q9LRR9|GLO1_ARATH (S)-2-hydroxy-acid oxidase GLO1 OS=Arabidopsis thaliana OX=3702 GN=GLO1 PE=1 SV=1 && PF01070:FMN-dependent dehydrogenase,FMN_dh
Solyc07g051950,0.5867164248511905,0.8015078590029763,True,0.5867164248511905,3.18229015688415,4.3015358940490005,True,4,True,0.7413793103448276,0.8458603766823285,cross_cohort_expression_replication_only,20,Solyc07g051950.3,protein_coding,S-type anion channel SLAH1 (AHRD V3.3 *** A0A2G2WD71_CAPBA) && sp|Q5E930|SLAH1_ARATH S-type anion channel SLAH1 OS=Arabidopsis thaliana OX=3702 GN=SLAH1 PE=2 SV=1 && PF03595:Voltage-dependent anion channel,C4dic_mal_tran
Solyc02g091920,-0.5726376488095238,-0.531436011904762,True,0.531436011904762,-3.8128682439649664,-5.156414106900648,True,4,True,0.7306034482758621,0.8228490582941785,cross_cohort_expression_replication_only,21,Solyc02g091920.3,protein_coding,xyloglucan endotransglucosylase-hydrolase 7 && sp|Q8LER3|XTH7_ARATH Probable xyloglucan endotransglucosylase/hydrolase protein 7 OS=Arabidopsis thaliana OX=3702 GN=XTH7 PE=2 SV=2 && PF00722:Glycosyl hydrolases family 16|PF06955:Xyloglucan endo-transglycosylase (XET) C-terminus,-
Solyc07g053540,-0.6821172805059526,-0.6541341145833334,True,0.6541341145833334,-3.6756969729893316,-4.207279972673825,True,4,True,0.7219827586206896,0.8614107171298877,cross_cohort_expression_replication_only,22,Solyc07g053540.1,protein_coding,Fasciclin-like arabinogalactan protein 9 (AHRD V3.3 *** A0A1U8HBV4_CAPAN) && sp|Q9ZWA8|FLA9_ARATH Fasciclin-like arabinogalactan protein 9 OS=Arabidopsis thaliana OX=3702 GN=FLA9 PE=2 SV=1 && PF02469:Fasciclin domain,-
Solyc05g014280,0.6077008928571428,0.6886160714285716,True,0.6077008928571428,5.283472934745711,4.169859220566397,True,4,True,0.7198275862068966,0.8703424882535638,cross_cohort_expression_replication_only,23,Solyc05g014280.4,protein_coding,"small heat shock protein 1 && sp|P09886|HS21C_PEA Small heat shock protein, chloroplastic OS=Pisum sativum OX=3888 GN=HSP21 PE=2 SV=1 && PF00011:Hsp20/alpha crystallin family",-
Solyc10g083400,0.5841820126488095,0.5149972098214286,True,0.5149972098214286,3.8292770217515835,6.2144230688561315,True,4,True,0.7112068965517241,0.8466331030500917,cross_cohort_expression_replication_only,24,Solyc10g083400.1,protein_coding,Cytochrome P450 (AHRD V3.3 *** A0A200Q6A4_9MAGN) && sp|Q9ZUX1|C94C1_ARATH Cytochrome P450 94C1 OS=Arabidopsis thaliana OX=3702 GN=CYP94C1 PE=1 SV=1 && PF00067:Cytochrome P450,p450
Solyc02g088270,0.543829055059524,0.5993187313988096,True,0.543829055059524,3.1420014542034775,6.101444122605265,True,4,True,0.7025862068965517,0.8241157820339253,cross_cohort_expression_replication_only,25,Solyc02g088270.3,protein_coding,hypothetical protein (DUF1997) (AHRD V3.3 *** AT5G39530.1) && - && PF09366:Protein of unknown function (DUF1997),-
Solyc08g066260,0.5417945498511906,0.7811976841517859,True,0.5417945498511906,5.288573553979156,7.256720823971442,True,4,True,0.6961206896551724,0.9097129589073824,cross_cohort_expression_replication_only,26,Solyc08g066260.3,protein_coding,Serine decarboxylase (AHRD V3.3 *** A0A2G2VBA7_CAPBA) && sp|P54772|DCHS_SOLLC Histidine decarboxylase OS=Solanum lycopersicum OX=4081 GN=HDC PE=2 SV=1 && PF00282:Pyridoxal-dependent decarboxylase conserved domain,-
Solyc02g089080,-0.7334333147321428,-0.6714564732142858,True,0.6714564732142858,-2.7123482829642125,-4.069030931378574,True,4,True,0.6896551724137931,0.8213795094369675,cross_cohort_expression_replication_only,27,Solyc02g089080.2,protein_coding,Protein RALF-like 27 (AHRD V3.3 --* A0A2G3D352_CAPCH) && - && -,-
Solyc06g083070,-0.6175595238095238,-0.4965645926339286,True,0.4965645926339286,-3.946578776780579,-4.304859138509203,True,4,True,0.6896551724137931,0.8046458150832204,cross_cohort_expression_replication_only,28,Solyc06g083070.3,protein_coding,Fimbrin-2 (AHRD V3.3 *** A0A2G2WN11_CAPBA) && sp|O50064|FIMB2_ARATH Fimbrin-2 OS=Arabidopsis thaliana OX=3702 GN=FIM2 PE=2 SV=1 && PF00307:Calponin homology (CH) domain,CH
Solyc02g067750,0.6055152529761905,0.6274239676339286,True,0.6055152529761905,2.5108001285894725,8.525706883046531,True,4,True,0.6812933025404158,0.8486638428764832,cross_cohort_expression_replication_only,29,Solyc02g067750.4,protein_coding,"Carbonic anhydrase (AHRD V3.3 *** A0A2G3D3J4_CAPCH) && sp|P27141|CAHC_TOBAC Carbonic anhydrase, chloroplastic OS=Nicotiana tabacum OX=4097 PE=2 SV=1 && PF00484:Carbonic anhydrase",-
Solyc03g112760,-0.5820428757440476,-0.4886067708333334,True,0.4886067708333334,-4.351671668217468,-4.482801617700886,True,4,True,0.6810344827586207,0.7991434060683285,cross_cohort_expression_replication_only,30,Solyc03g112760.3,protein_coding,transmembrane protein (AHRD V3.3 *** AT3G48200.1) && - && -,-
Solyc10g080390,-0.5476539248511906,-0.5706263950892856,True,0.5476539248511906,-3.448671666443518,-4.02434372930599,True,4,True,0.6702586206896551,0.758577138249582,cross_cohort_expression_replication_only,31,Solyc10g080390.2,protein_coding,serine/threonine-protein kinase Nek6-like isoform X1 (AHRD V3.3 *** A0A2I4G4E6_9ROSI) && sp|Q9LT35|NEK6_ARATH Serine/threonine-protein kinase Nek6 OS=Arabidopsis thaliana OX=3702 GN=NEK6 PE=3 SV=1 && PF00069:Protein kinase domain,Pkinase
Solyc08g067030,-0.5807989211309523,-0.4809105282738095,True,0.4809105282738095,-5.980909615612755,-7.21833385174739,True,4,True,0.665948275862069,0.8591821294895278,cross_cohort_expression_replication_only,32,Solyc08g067030.3,protein_coding,DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BRG3_CEPFO) && - && PF04862:Protein of unknown function (DUF642),-
Solyc07g054860,-0.6162458147321428,-0.4806082589285714,True,0.4806082589285714,-3.6495169870121256,-5.707239780107055,True,4,True,0.6637931034482759,0.8338936947519312,cross_cohort_expression_replication_only,33,Solyc07g054860.1,protein_coding,Tyrosine/DOPA decarboxylase 3 (AHRD V3.3 *** A0A2G2Z3G9_CAPAN) && sp|P93082|TDC1_CAMAC Tryptophan decarboxylase TDC1 OS=Camptotheca acuminata OX=16922 GN=TDC1 PE=1 SV=1 && PF00282:Pyridoxal-dependent decarboxylase conserved domain,-
Solyc10g079050,0.5567452566964286,0.6250058128720238,True,0.5567452566964286,2.404651226399554,4.613756163750938,True,4,True,0.6628175519630485,0.7648423190252449,cross_cohort_expression_replication_only,34,Solyc10g079050.2,protein_coding,BHLH transcription factor o95 && sp|Q66GR3|BH130_ARATH Transcription factor bHLH130 OS=Arabidopsis thaliana OX=3702 GN=BHLH130 PE=1 SV=1 && PF00010:Helix-loop-helix DNA-binding domain,HLH
Solyc01g108490,-0.7807965959821428,-0.6170247395833335,True,0.6170247395833335,-5.26453947622009,-3.9403610105257183,True,4,True,0.6594827586206896,0.8676099486342279,cross_cohort_expression_replication_only,35,Solyc01g108490.3,protein_coding,Carboxypeptidase (AHRD V3.3 *** A0A1U8E723_CAPAN) && sp|A0A0C3VJP4|SCP1_MEDTR Serine carboxypeptidase 1 OS=Medicago truncatula OX=3880 GN=SCP1 PE=1 SV=3 && PF00450:Serine carboxypeptidase,Peptidase_S10
Solyc01g074030,-0.5633486793154763,-0.5866292317708334,True,0.5633486793154763,-4.389978620265569,-3.932434602886037,True,4,True,0.6551724137931034,0.7905998646173449,cross_cohort_expression_replication_only,36,Solyc01g074030.3,protein_coding,Beta-glucosidase (AHRD V3.3 *** Q43014_PRUAV) && sp|Q75W17|FURH_VIBFR Furcatin hydrolase OS=Viburnum furcatum OX=237940 PE=1 SV=1 && PF00232:Glycosyl hydrolase family 1,Glyco_hydro_1
Solyc01g107730,-0.6377766927083334,-0.7871849423363096,True,0.6377766927083334,-3.315176566915776,-3.924474080003175,True,4,True,0.6508620689655172,0.8439366488811022,cross_cohort_expression_replication_only,37,Solyc01g107730.3,protein_coding,"D-type cyclin-2 && sp|Q9SN11|CCD33_ARATH Cyclin-D3-3 OS=Arabidopsis thaliana OX=3702 GN=CYCD3-3 PE=2 SV=1 && PF00134:Cyclin, N-terminal domain|PF02984:Cyclin, C-terminal domain",Cyclin_C
Solyc03g013340,-0.643705822172619,-0.5516183035714286,True,0.5516183035714286,-2.257947374741154,-4.974505956909459,True,4,True,0.6397228637413395,0.7854695090387831,cross_cohort_expression_replication_only,38,Solyc03g013340.3,protein_coding,NOD26-like intrinsic protein 2.1 && sp|Q19KC1|NIP21_MAIZE Aquaporin NIP2-1 OS=Zea mays OX=4577 GN=NIP2-1 PE=2 SV=2 && PF00230:Major intrinsic protein,-
Solyc01g088400,0.5799153645833333,0.4628789992559525,True,0.4628789992559525,4.928992731057497,5.912107314943392,True,4,True,0.6379310344827587,0.8335502608107033,cross_cohort_expression_replication_only,39,Solyc01g088400.4,protein_coding,ECERIFERUM 1 && sp|F4HVY0|CER1_ARATH Very-long-chain aldehyde decarbonylase CER1 OS=Arabidopsis thaliana OX=3702 GN=CER1 PE=1 SV=1 && PF12076:WAX2 C-terminal domain|PF04116:Fatty acid hydroxylase superfamily,-
Solyc02g088100,-0.5166596912202381,-0.6494373139880951,True,0.5166596912202381,-3.142675335262241,-5.883446559260582,True,4,True,0.6293103448275862,0.8155722405829418,cross_cohort_expression_replication_only,40,Solyc02g088100.3,protein_coding,expansin precursor 5 && sp|Q9LDR9|EXP10_ARATH Expansin-A10 OS=Arabidopsis thaliana OX=3702 GN=EXPA10 PE=2 SV=1 && PF03330:Lytic transglycolase|PF01357:Pollen allergen,-
Solyc08g082620,-0.5614943731398809,-0.4617978050595239,True,0.4617978050595239,-2.97330678379367,-3.8337947546283275,True,4,True,0.6271551724137931,0.6967279206816915,cross_cohort_expression_replication_only,41,Solyc08g082620.3,protein_coding,"3-oxoacyl-[acyl-carrier-protein] synthase (AHRD V3.3 *** O82520_CAPCH) && sp|P52410|KASC1_ARATH 3-oxoacyl-[acyl-carrier-protein] synthase I, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KAS1 PE=1 SV=2 && PF00109:Beta-ketoacyl synthase, N-terminal domain|PF02801:Beta-ketoacyl synthase, C-terminal domain",ketoacyl-synt
Solyc01g094700,-0.5732073102678573,-0.45166015625,True,0.45166015625,-3.9841468143919125,-4.280042042347814,True,4,True,0.6163793103448276,0.7643134805287888,cross_cohort_expression_replication_only,42,Solyc01g094700.5,protein_coding,Glycerol-3-phosphate acyltransferase && sp|Q9LMM0|GPAT4_ARATH Glycerol-3-phosphate 2-O-acyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=GPAT4 PE=1 SV=1 && PF12710:haloacid dehalogenase-like hydrolase|PF01553:Acyltransferase,Acyltransferase
Solyc04g064620,-0.5682779947916667,-0.4871070498511904,True,0.4871070498511904,-3.522239349191449,-3.777581466809467,True,4,True,0.6142241379310345,0.7357176276180617,cross_cohort_expression_replication_only,43,Solyc04g064620.4,protein_coding,Bidirectional sugar transporter SWEET (AHRD V3.3 *** M1CBD4_SOLTU) && sp|Q8L9J7|SWET1_ARATH Bidirectional sugar transporter SWEET1 OS=Arabidopsis thaliana OX=3702 GN=SWEET1 PE=1 SV=1 && PF03083:Sugar efflux transporter for intercellular exchange,-
Solyc03g117300,-0.5705450148809523,-0.5435384114583334,True,0.5435384114583334,-2.741727232180284,-3.75103001309293,True,4,True,0.6056034482758621,0.716430576570837,cross_cohort_expression_replication_only,44,Solyc03g117300.4,protein_coding,Nodulin-like && - && PF06813:Nodulin-like,-
Solyc10g075070,-0.6411830357142858,-0.4461844308035715,True,0.4461844308035715,-4.079275684272923,-5.364239580882151,True,4,True,0.603448275862069,0.8268906287329776,cross_cohort_expression_replication_only,45,Solyc10g075070.3,protein_coding,Non-specific lipid-transfer protein (AHRD V3.3 *** K4D1U9_SOLLC) && sp|Q03461|NLTP2_TOBAC Non-specific lipid-transfer protein 2 OS=Nicotiana tabacum OX=4097 PE=3 SV=1 && PF00234:Protease inhibitor/seed storage/LTP family,-
Solyc12g098600,-0.515415736607143,-0.4423828125000001,True,0.4423828125000001,-2.791012179171085,-3.78969161398211,True,4,True,0.5991379310344828,0.6466189177351278,cross_cohort_expression_replication_only,46,Solyc12g098600.1,protein_coding,Glycosyltransferase (AHRD V3.3 *** A0A2I4GJH4_9ROSI) && sp|K4CWS6|U75C1_SOLLC UDP-glycosyltransferase 75C1 OS=Solanum lycopersicum OX=4081 GN=UGT75C1 PE=1 SV=1 && PF00201:UDP-glucoronosyl and UDP-glucosyl transferase,UDPGT
Solyc02g038740,0.5063011532738096,0.4803176153273807,True,0.4803176153273807,3.133017293710603,5.342299635634145,True,4,True,0.5948275862068966,0.7389093234849089,cross_cohort_expression_replication_only,47,Solyc02g038740.4,protein_coding,3-hydroxy-3-methylglutaryl coenzyme A reductase (AHRD V3.3 *** A0A2G2XB84_CAPBA) && sp|P48022|HMDH2_SOLLC 3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Solanum lycopersicum OX=4081 GN=HMG2 PE=3 SV=1 && PF00368:Hydroxymethylglutaryl-coenzyme A reductase,-
Solyc08g081790,0.5942499069940477,0.7487211681547619,True,0.5942499069940477,2.0450165685621347,5.636375140061769,True,4,True,0.5935334872979214,0.8261850959624114,cross_cohort_expression_replication_only,48,Solyc08g081790.3,protein_coding,Dirigent protein (AHRD V3.3 *** K4CPH5_SOLLC) && sp|Q1ZZU9|DIR_SINHE Dirigent protein OS=Sinopodophyllum hexandrum OX=93608 GN=DIR PE=2 SV=1 && PF03018:Dirigent-like protein,-
Solyc08g007850,0.5057779947916667,0.6783737909226191,True,0.5057779947916667,3.096317739841403,6.672570251303256,True,4,True,0.5926724137931034,0.8218448873138489,cross_cohort_expression_replication_only,49,Solyc08g007850.1,protein_coding,Unknown protein && sp|O82752|DTX49_ARATH Protein DETOXIFICATION 49 OS=Arabidopsis thaliana OX=3702 GN=DTX49 PE=2 SV=1 && -,-
Solyc01g108730,0.5173572358630951,0.7613234747023809,True,0.5173572358630951,2.0375435188714195,4.037819594203551,True,4,True,0.5889145496535797,0.7172717408616709,cross_cohort_expression_replication_only,50,Solyc01g108730.3,protein_coding,Methyl esterase 1 (AHRD V3.11 *-* tr_A0A2U1LMY0_A0A2U1LMY0_ARTAN) && sp|O80476|MES2_ARATH Methylesterase 2 OS=Arabidopsis thaliana OX=3702 GN=MES2 PE=1 SV=1 && -,-
Solyc04g071800,-0.5704868861607142,-0.4368896484374999,True,0.4368896484374999,-4.636866208697077,-6.245060330321941,True,4,True,0.5883620689655172,0.8177323903002309,cross_cohort_expression_replication_only,51,Solyc04g071800.3,protein_coding,Cytochrome P450 (AHRD V3.3 *-* A0A200Q069_9MAGN) && sp|A0A1D6F9Y9|C92C6_MAIZE Trimethyltridecatetraene synthase OS=Zea mays OX=4577 GN=CYP92C6 PE=1 SV=1 && PF00067:Cytochrome P450,p450
Solyc02g063150,-0.5658714657738096,-0.4826776413690475,True,0.4826776413690475,-4.47743753024011,-3.6168760395809314,True,4,True,0.5818965517241379,0.7399918869953014,cross_cohort_expression_replication_only,52,Solyc02g063150.3,protein_coding,"RuBP carboxylase small subunit && sp|P08706|RBS1_SOLLC Ribulose bisphosphate carboxylase small subunit, chloroplastic 1 OS=Solanum lycopersicum OX=4081 GN=RBCS1 PE=2 SV=2 && PF12338:Ribulose-1,5-bisphosphate carboxylase small subunit|PF00101:Ribulose bisphosphate carboxylase, small chain",-
Solyc12g096870,-0.5050223214285715,-0.5674700055803572,True,0.5050223214285715,-2.4372391442499035,-3.790792114261197,True,4,True,0.5818965517241379,0.6620099844708132,cross_cohort_expression_replication_only,53,Solyc12g096870.1,protein_coding,Glycosyltransferase (AHRD V3.3 *** A0A193AUF6_PUNGR) && sp|A0A193AU77|GGT24_PUNGR Gallate 1-beta-glucosyltransferase 84A24 OS=Punica granatum OX=22663 GN=UGT84A24 PE=1 SV=1 && PF00201:UDP-glucoronosyl and UDP-glucosyl transferase,UDPGT
Solyc11g008630,-0.5546758742559526,-0.4361862909226192,True,0.4361862909226192,-3.142264345530906,-4.786824193812807,True,4,True,0.5797413793103449,0.7395638388946405,cross_cohort_expression_replication_only,54,Solyc11g008630.3,protein_coding,HXXXD-type acyl-transferase family protein (AHRD V3.3 *** A0A2U1LG13_ARTAN) && sp|A0A2R6Q326|AT16_ACTCC Alcohol acyltransferase 16 OS=Actinidia chinensis var. chinensis OX=1590841 GN=AT16 PE=1 SV=2 && PF02458:Transferase family,-
Solyc02g062390,0.5019414992559526,0.6453159877232144,True,0.5019414992559526,2.4666295191629475,5.159745931741488,True,4,True,0.5754310344827587,0.748294029226726,cross_cohort_expression_replication_only,55,Solyc02g062390.3,protein_coding,abscisic acid and environmental stress-inducible protein TAS14 (AHRD V3.3 *-* A0A1U8FJ72_CAPAN) && - && PF00257:Dehydrin,-
Solyc07g022900,-0.5523042224702381,-0.8055361793154763,True,0.5523042224702381,-2.220577745838757,-3.6028000513810507,True,4,True,0.5754310344827587,0.7320904176953094,cross_cohort_expression_replication_only,56,Solyc07g022900.4,protein_coding,"Chlorophyll a-b binding protein && sp|Q9C639|LHCA5_ARATH Photosystem I chlorophyll a/b-binding protein 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCA5 PE=1 SV=1 && PF00504:Chlorophyll A-B binding protein",-
Solyc03g118510,-0.5152064732142858,-0.4494396391369049,True,0.4494396391369049,-1.9494199074835175,-4.031713725433383,True,4,True,0.5704387990762124,0.6178252170104325,cross_cohort_expression_replication_only,57,Solyc03g118510.3,protein_coding,Ovary receptor kinase 27 (AHRD V3.3 *** S4WIQ7_SOLCH) && sp|Q9LP77|Y1848_ARATH Probable inactive receptor kinase At1g48480 OS=Arabidopsis thaliana OX=3702 GN=RKL1 PE=1 SV=1 && PF08263:Leucine rich repeat N-terminal domain|PF00069:Protein kinase domain|PF13855:Leucine rich repeat,Pkinase
